danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.442,0.398,2,-8.467,1,0.0358,0.551,0.0,0.342,0.46900000000000003,109.363,audio_features,4NdzFKsviXMxchKjzPhnKW,spotify:track:4NdzFKsviXMxchKjzPhnKW,https://api.spotify.com/v1/tracks/4NdzFKsviXMxchKjzPhnKW,https://api.spotify.com/v1/audio-analysis/4NdzFKsviXMxchKjzPhnKW,210360,4
0.6970000000000001,0.45,8,-8.087,0,0.115,0.246,0.0,0.14300000000000002,0.17400000000000002,124.75,audio_features,2AqZCc1oG8D2xuRCmWgvzI,spotify:track:2AqZCc1oG8D2xuRCmWgvzI,https://api.spotify.com/v1/tracks/2AqZCc1oG8D2xuRCmWgvzI,https://api.spotify.com/v1/audio-analysis/2AqZCc1oG8D2xuRCmWgvzI,212495,3
0.41000000000000003,0.0485,0,-13.918,1,0.038,0.9470000000000001,0.0,0.108,0.247,137.97,audio_features,6yIHGmQLJxWAUZ1ZkENemN,spotify:track:6yIHGmQLJxWAUZ1ZkENemN,https://api.spotify.com/v1/tracks/6yIHGmQLJxWAUZ1ZkENemN,https://api.spotify.com/v1/audio-analysis/6yIHGmQLJxWAUZ1ZkENemN,173175,4
0.423,0.40700000000000003,10,-7.45,1,0.0267,0.312,0.0009609999999999999,0.11,0.161,139.048,audio_features,4qefHyLKbyW3yeqk5Jrjey,spotify:track:4qefHyLKbyW3yeqk5Jrjey,https://api.spotify.com/v1/tracks/4qefHyLKbyW3yeqk5Jrjey,https://api.spotify.com/v1/audio-analysis/4qefHyLKbyW3yeqk5Jrjey,285120,3
0.657,0.6000000000000001,10,-8.501,1,0.0298,0.029500000000000002,0.0,0.217,0.494,132.053,audio_features,4LTUBsLeIn8qcopkFwhwK9,spotify:track:4LTUBsLeIn8qcopkFwhwK9,https://api.spotify.com/v1/tracks/4LTUBsLeIn8qcopkFwhwK9,https://api.spotify.com/v1/audio-analysis/4LTUBsLeIn8qcopkFwhwK9,239200,4
0.672,0.671,7,-6.71,1,0.0502,0.721,0.000357,0.504,0.519,91.986,audio_features,1OQraOrLJCsV6Nen7IvG6X,spotify:track:1OQraOrLJCsV6Nen7IvG6X,https://api.spotify.com/v1/tracks/1OQraOrLJCsV6Nen7IvG6X,https://api.spotify.com/v1/audio-analysis/1OQraOrLJCsV6Nen7IvG6X,155512,4
0.7010000000000001,0.417,6,-7.818,0,0.0329,0.0888,0.0006479999999999999,0.375,0.186,95.003,audio_features,6RBAJlxHY9Ulvw2y7yk4aX,spotify:track:6RBAJlxHY9Ulvw2y7yk4aX,https://api.spotify.com/v1/tracks/6RBAJlxHY9Ulvw2y7yk4aX,https://api.spotify.com/v1/audio-analysis/6RBAJlxHY9Ulvw2y7yk4aX,194840,4
0.485,0.484,3,-7.036,1,0.061700000000000005,0.62,0.0,0.114,0.28200000000000003,159.877,audio_features,6Xa2rrTpSLkpx887Y115mO,spotify:track:6Xa2rrTpSLkpx887Y115mO,https://api.spotify.com/v1/tracks/6Xa2rrTpSLkpx887Y115mO,https://api.spotify.com/v1/audio-analysis/6Xa2rrTpSLkpx887Y115mO,183938,3
0.518,0.41100000000000003,7,-8.909,1,0.0335,0.896,0.000716,0.112,0.0782,120.06,audio_features,1eA6HGJ1qZXEL7NIFKYrXK,spotify:track:1eA6HGJ1qZXEL7NIFKYrXK,https://api.spotify.com/v1/tracks/1eA6HGJ1qZXEL7NIFKYrXK,https://api.spotify.com/v1/audio-analysis/1eA6HGJ1qZXEL7NIFKYrXK,208000,4
0.451,0.268,9,-9.832,1,0.029400000000000003,0.8310000000000001,6.620000000000001e-05,0.083,0.20600000000000002,89.513,audio_features,2EjgVZre5ONvZLNw59kEIn,spotify:track:2EjgVZre5ONvZLNw59kEIn,https://api.spotify.com/v1/tracks/2EjgVZre5ONvZLNw59kEIn,https://api.spotify.com/v1/audio-analysis/2EjgVZre5ONvZLNw59kEIn,260533,4
0.655,0.5720000000000001,3,-7.666,0,0.053500000000000006,0.646,1.81e-06,0.07740000000000001,0.403,137.12,audio_features,2zpZkOV7sD9C4Cv0cukoHV,spotify:track:2zpZkOV7sD9C4Cv0cukoHV,https://api.spotify.com/v1/tracks/2zpZkOV7sD9C4Cv0cukoHV,https://api.spotify.com/v1/audio-analysis/2zpZkOV7sD9C4Cv0cukoHV,131825,4
0.587,0.229,10,-11.254,0,0.128,0.92,0.0,0.1,0.379,75.67,audio_features,6Kkt27YmFyIFrcX3QXFi2o,spotify:track:6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/tracks/6Kkt27YmFyIFrcX3QXFi2o,https://api.spotify.com/v1/audio-analysis/6Kkt27YmFyIFrcX3QXFi2o,171728,4
0.63,0.24,4,-8.832,0,0.0346,0.8140000000000001,2.74e-06,0.0922,0.455,164.899,audio_features,1hKIfuhiFgg7LZnYuq627w,spotify:track:1hKIfuhiFgg7LZnYuq627w,https://api.spotify.com/v1/tracks/1hKIfuhiFgg7LZnYuq627w,https://api.spotify.com/v1/audio-analysis/1hKIfuhiFgg7LZnYuq627w,231954,3
