,genres,artist_popularity
DJ Get Bizzy,[],22
Kali,"['alternative r&b', 'viral rap']",50
Miraa.,"['chillhop', 'lo-fi beats']",28
Loona Dae,[],1
Red Stairs Jazz Quartet,['background jazz'],29
Black Noi$e,['experimental house'],29
Youngr,[],45
Mia Rodriguez,['alt z'],46
Savoir Adore,"['brooklyn indie', 'indie poptimism', 'metropopolis', 'shimmer pop', 'vapor soul']",38
Golden Soul,['focus beats'],33
Dai Burger,"['escape room', 'lgbtq+ hip hop', 'trap queen']",26
To Be Frank,[],8
CMC$,['vapor twitch'],45
Tom Walker,"['indie anthem-folk', 'pop', 'uk pop']",67
The Presets,"['alternative dance', 'australian dance', 'australian indie', 'dance-punk', 'electronica', 'electropop', 'new rave']",49
Goody Grace,['pop rap'],55
Kid Smoko,[],35
SSQ,[],16
LaKeith Stanfield,[],23
R.I.P.,['weirdcore'],33
Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",82
Andy Shauf,"['canadian indie folk', 'indie folk', 'indie pop', 'indie rock', 'saskatchewan indie']",51
One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",83
Mansionair,"['aussietronica', 'electropop', 'indietronica', 'vapor soul']",55
The North Sea Trio,[],43
HTHAZE,[],25
Chantel Jeffries,"['kentucky hip hop', 'la pop']",37
Mag.Lo,['nerdcore'],53
En Vogue,"['contemporary r&b', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",55
Lealani,[],34
Windows 96,"['chillsynth', 'synthwave brasileiro', 'vaporwave']",44
Handsome Luke,[],7
Campsite Dream,"['deep tropical house', 'pop dance', 'tropical house']",49
Cali Cartier,['hyperpop'],30
TsuShiMaMiRe,"['j-punk', 'japanese girl punk', 'japanese punk rock']",21
Rat City,"['norwegian pop', 'scandipop']",43
Thythy,[],6
Flxght,[],0
Matt Terry,['talent show'],43
Altitude Music,[],23
zenshou,[],27
sam.sts,['bedroom pop'],34
Lawrence,"['nyc pop', 'retro soul']",53
Kxa,['bass trap'],21
Swan Lingo,[],29
joan,"['chill r&b', 'electropop', 'indie poptimism', 'indietronica', 'little rock indie', 'pop']",51
Lee Ritenour,"['jazz funk', 'jazz fusion', 'jazz guitar', 'smooth jazz', 'yacht rock']",46
Dbangz,"['meme rap', 'vapor trap', 'viral rap']",46
Steezyasfuck,['phonk'],14
Sada Baby,"['detroit trap', 'scam rap', 'trap']",57
Charlie Regan Three,[],45
tender spring,[],55
The Struts,"['glam rock', 'modern alternative rock', 'modern rock']",57
Ray Silvers,[],22
Slowy,"['chillhop', 'german boom bap', 'german jazz rap', 'hamburg hip hop', 'jazz boom bap']",31
Cute Whore,[],30
The Kid LAROI,"['australian hip hop', 'pop']",80
La Lana,[],7
Marie Dahlstrom,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'neo r&b', 'uk contemporary r&b']",40
GALXARA,['la pop'],45
scuttlefuzz,[],16
Fleet Foxes,"['chamber pop', 'folk', 'indie folk', 'indie pop', 'indie rock', 'seattle indie', 'stomp and holler']",64
Miguel Angeles,['scenecore'],28
Brandy,"['contemporary r&b', 'dance pop', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",63
Vantage,['future funk'],48
Ebb & Flod,"['background music', 'focus']",41
iiara,[],0
IDK,"['dmv rap', 'hip hop', 'rap', 'underground hip hop']",60
Liz Longley,['nashville singer-songwriter'],32
Good Times Ahead,"['bass house', 'bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'pop dance', 'vapor twitch']",54
Angerfist,"['gabba', 'hardcore techno', 'tekk', 'uptempo hardcore']",58
José Feliciano,"['bolero', 'latin pop', 'puerto rican pop']",67
Bay Faction,"['5th wave emo', 'alternative emo']",37
JJ,[],0
Amindi,"['alternative r&b', 'chill r&b', 'dancehall', 'high vibe', 'indie r&b']",47
Shiftee,['escape room'],9
brandonhult.,['focus beats'],20
She Keeps Bees,['brooklyn indie'],44
Francis and the Lights,[],48
GASHI,"['pop rap', 'trap soul']",58
Anna Ash,[],35
Germain,[],0
serpentwithfeet,"['alternative r&b', 'art pop', 'escape room', 'experimental r&b', 'indie soul']",45
Michael K.,[],1
Spaceface,['neo-psychedelic'],28
Choir Boy,"['dark post-punk', 'slc indie']",37
DLG.,[],45
Alain Goraguer,"['french soundtrack', 'laboratorio', 'vintage french electronic']",41
Oklou,"['art pop', 'deconstructed club', 'escape room', 'hyperpop']",49
Exuma,"['bahamian folk', 'experimental', 'freak folk']",31
Boon,[],39
Date Night,['deep tropical house'],24
Tsundere Twintails,['meme rap'],38
WHIPPED CREAM,"['canadian electronic', 'electra', 'electro house', 'electronic trap']",50
Emancipator,"['downtempo', 'electronica', 'livetronica', 'nu jazz', 'trip hop']",56
Tigers Jaw,"['alternative emo', 'anthem emo', 'bubblegrunge', 'dreamo', 'emo', 'indie punk', 'lo-fi emo']",48
AUSTN,['social media pop'],44
James Ferraro,"['abstractro', 'deconstructed club', 'escape room', 'experimental pop', 'hauntology', 'outsider house', 'rochester ny indie', 'vaporwave']",26
Stereolab,"['alternative rock', 'art pop', 'art rock', 'chamber psych', 'electronica', 'experimental', 'experimental pop', 'indietronica', 'noise pop', 'singer-songwriter']",51
FKA 059,['hyperpop italiano'],9
Pavement,"['alternative rock', 'anti-folk', 'art rock', 'dream pop', 'indie rock', 'lo-fi', 'modern rock', 'rock']",57
Gábor Bolla,[],25
Mother,[],0
Switched on Snes,[],16
TIN,[],4
Ryo Kawasaki,"['classic japanese jazz', 'japanese jazz', 'jazz guitar']",22
Zola,[],0
Young M.A,"['alternative r&b', 'lgbtq+ hip hop', 'nyc rap', 'pop rap', 'rap', 'trap', 'viral rap']",60
AJRadico,[],33
a-ha,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",70
Bitte Please,['focus beats'],0
Paquin,['weirdcore'],0
Naomi Smalls,[],0
Osoku,[],33
Nue,"['canadian hip hop', 'toronto rap']",15
The Gromble,[],17
Lofi-Scape,[],21
23Dunks,[],1
Sleeping At Last,"['ambient worship', 'chamber pop', 'pop']",69
Blue,[],1
Pom Pom Squad,"['bubblegrunge', 'indie pop']",39
LVNDVN,['trap soul'],30
Bruno Pernadas,['portuguese indie'],35
Wildlife,[],27
Jill & Henry,[],35
Ragan Whiteside,['smooth jazz'],34
REGI FLIH,['trap soul'],29
Kyle McCrone,[],0
Seycara Orchestral,['otacore'],44
Jonathan Fritzén,"['deep smooth jazz', 'smooth jazz']",31
Anubian Lights,[],18
JellyJuiceMusic,[],10
Low Leaf,['jazz harp'],13
Sarah Vaughan,"['adult standards', 'jazz', 'lounge', 'swing', 'torch song', 'vocal jazz']",54
Kokei,[],31
Jay Alpha,[],4
Life Without Buildings,"['scottish indie', 'scottish rock']",37
Mari,[],14
simon eng,['lo-fi beats'],30
Res,['neo soul'],33
Adam Melchor,"['indie pop', 'new jersey indie']",54
Bruno Coulais,"['bajki', 'french soundtrack', 'soundtrack']",53
Easy Socks,['experimental r&b'],21
The Breeders,"['alternative pop', 'alternative rock', 'boston rock', 'dayton indie', 'dream pop', 'lo-fi', 'new wave', 'pop rock', 'post-punk', 'singer-songwriter']",51
Vista Wolf,[],11
Jordan Ward,"['indie hip hop', 'indie r&b']",46
Murcy,[],30
Shannon & The Clams,"['bay area indie', 'garage pop', 'indie garage rock', 'oakland indie', 'power-pop punk']",42
Kid Quill,"['indiana hip hop', 'indie pop rap', 'pop', 'pop rap']",48
Blimpflyinghigh,"['focus beats', 'lo-fi beats']",26
Howiewonder,[],14
Yuki Hayashi,"['anime score', 'japanese soundtrack', 'otacore']",58
Deauxnuts,[],42
Amanda Tenfjord,"['norwegian indie', 'norwegian pop', 'trondheim indie']",44
Polo & Pan,"['dark disco', 'electro-pop francais', 'french indietronica', 'new french touch']",61
The Strumbellas,"['canadian indie', 'folk-pop', 'pop rock', 'stomp and holler']",56
Eric Prydz,"['disco house', 'edm', 'electro house', 'pop dance', 'progressive house', 'vocal house']",63
Sojourn,['beatboxing'],11
Jenny Jones,[],37
Lucas Nord,['progressive electro house'],46
Horsey,[],35
TOOPOOR,[],38
Starley,"['aussietronica', 'dance pop', 'edm', 'electropop', 'pop dance', 'pop edm', 'post-teen pop', 'tropical house']",55
Au Revoir Simone,['brooklyn indie'],35
Feki,['pop edm'],39
Maxo,"['alternative hip hop', 'boom bap', 'experimental hip hop', 'underground hip hop']",48
Mark Sparling,[],30
Contessa Stuto,['lgbtq+ hip hop'],6
Lunchmoney,['lo-fi beats'],30
Andrew Jeremy,['lo-fi vgm'],38
Kayzo,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']",55
Sam Gendel,"['fourth world', 'indie jazz', 'indie soul', 'uk contemporary jazz']",43
Boys Age,['indie garage rock'],28
Lofiler,[],3
Johnny Cash,"['arkansas country', 'outlaw country']",73
AG Club,"['indie hip hop', 'rap', 'underground hip hop']",50
Maddie Medley,['nashville singer-songwriter'],30
A Boogie Wit da Hoodie,"['melodic rap', 'rap', 'trap']",80
Long Island Quartet,['background jazz'],43
Kish!,['uk alternative hip hop'],30
Chris Fleming,[],17
Tayla,[],11
Zé Taylor,[],1
Joe Sunrise,[],40
Dream Runner,['background music'],36
gvn,[],22
falcxne,['montreal indie'],32
645AR,[],35
Nia Sultana,"['alternative r&b', 'chill r&b', 'indie r&b']",42
Otaam,[],47
Iman.,[],39
Mr Little Jeans,"['chillwave', 'electropop', 'indie poptimism', 'shimmer pop', 'vapor soul']",43
Sophia Black,['la pop'],52
MISOGI,"['glitchcore', 'vapor twitch', 'wave']",42
Sleepy Fish,['chillhop'],50
King Gizzard & The Lizard Wizard,"['australian indie', 'australian psych', 'double drumming', 'microtonal', 'neo-psychedelic']",65
Mezzoforte,"['icelandic jazz', 'smooth jazz']",37
bodie,[],28
Akkodha,[],9
Jawnhto,"['lo-fi vgm', 'pokemon']",26
9th Wonder,"['alternative hip hop', 'boom bap', 'hip hop', 'north carolina hip hop']",54
Aura,[],13
Savage Ga$p,"['aesthetic rap', 'meme rap', 'viral rap']",59
Tayla Young,[],4
Matoma,"['dance pop', 'edm', 'electro house', 'electropop', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'tropical house']",65
Paula Abdul,"['dance pop', 'new wave pop', 'soft rock', 'urban contemporary']",53
TCY FORCE,['japanese electropop'],28
Jak Bannon,[],21
Iman Omari,"['alternative r&b', 'indie r&b', 'indie soul']",50
Oscar Lang,"['bedroom pop', 'indie pop']",58
Sylo,"['canadian contemporary r&b', 'chill r&b', 'indie r&b']",42
James Keith Norman,[],28
RandomBeats,"['lo-fi vgm', 'nerdcore']",34
Little Sis Nora,[],60
Tee Lopes,"['japanese vgm', 'lo-fi vgm']",49
Camille and Kennerly,['calming instrumental'],30
Vacations,['newcastle nsw indie'],71
Hollbeck,[],32
NoMBe,"['indie soul', 'vapor soul']",58
Trell Daniels,[],32
Black M,"['francoton', 'french pop', 'rap conscient']",52
Parliament,"['afrofuturism', 'funk', 'funk rock', 'p funk', 'soul']",51
Len Stark Band,[],32
Mino Conte & Co,[],27
FRANKIE,[],22
ARTEMIS,['contemporary post-bop'],33
Airospace,['lo-fi rap'],37
Katie Dey,"['escape room', 'indietronica', 'small room', 'transpop']",28
SahBabii,"['melodic rap', 'plugg', 'trap', 'vapor trap']",54
Mihka!,['sky room'],30
Sampa the Great,"['alternative r&b', 'australian hip hop', 'conscious hip hop', 'escape room', 'zambian hip hop']",51
Umlilo,['multidisciplinary'],1
John Duff,['strut'],27
Viber Daze,[],2
gglum,[],30
Uyama Hiroto,"['ambeat', 'jazztronica']",45
Spective,['jazzy dnb'],33
Stephen Day,['indiecoustica'],50
Winona Oak,"['alt z', 'pop', 'swedish pop']",54
Amanda Reifer,['barbadian pop'],62
William Crooks,['future bass'],33
Tcvvx,['trap soul'],21
Sam O.B.,[],7
Iglooghost,"['escape room', 'future bass', 'hyperpop', 'proto-hyperpop']",36
Macintosh Plus,[],17
Jet Age of Tomorrow,['experimental hip hop'],29
Beverly Glenn-Copeland,"['art pop', 'canadian experimental', 'fourth world', 'transpop']",33
Original Broadway Cast of Jane Eyre: The Musical,[],0
Boy In Space,"['alt z', 'electropop', 'pop']",57
Ukuletea,"['dream smp', 'indie pop']",44
Belinda Carlisle,"['dance pop', 'new romantic', 'new wave pop', 'soft rock']",59
Chappell Roan,"['indie pop', 'pop', 'springfield mo indie']",50
Freddie Joachim,"['ambeat', 'chillhop', 'jazz boom bap']",40
Pryde,"['canadian contemporary r&b', 'canadian hip hop']",37
Nana The Shrimp,['future bass'],25
Florida Georgia Line,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",74
Diggs Duke,"['indie jazz', 'neo r&b']",26
Kenny Mason,"['atl hip hop', 'indie hip hop', 'underground hip hop']",62
ZenAware,[],34
Hoogway,['lo-fi beats'],61
Megan Gage,[],8
Broken Bells,"['alternative dance', 'alternative rock', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'new rave', 'rock']",59
Killumantii,['trap queen'],44
COCKAHOLICS,['meme rap'],26
Priscilla Betti,[],14
The Magic Lantern,[],35
Janieck,['dutch pop'],58
The Frights,"['indie garage rock', 'indie surf', 'san diego indie', 'surf punk']",50
DEAMN,['pop edm'],47
avatar zen,[],27
HalfNoise,['nashville indie'],35
Chilled Cougar,[],45
Tifita,"['anime piano', 'otacore']",37
Blimes,['alternative r&b'],31
Eleanor Arroway,['background music'],42
Cher,"['dance pop', 'hollywood', 'new wave pop', 'pop']",67
Chiiild,['indie r&b'],49
Emperor X,['small room'],31
Nick Tesla,[],3
JGrrey,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",44
Raphael Jason Zamora,[],12
Claude Debussy,"['classical', 'impressionism', 'post-romantic era']",68
Lucia Jayce,[],0
Drebae,[],19
The Moldy Peaches,"['anti-folk', 'lo-fi']",44
Antologie,"['background music', 'focus']",35
RIMON,"['alternative r&b', 'chill r&b', 'dutch r&b', 'indie r&b', 'indie soul']",46
SJUR,"['deep tropical house', 'norwegian pop', 'scandipop', 'tropical house']",38
"Now, Now","['dreamo', 'indie poptimism', 'minneapolis indie']",43
blink-182,"['pop punk', 'punk', 'rock', 'socal pop punk']",78
Spodee,"['atl trap', 'houston rap']",44
Family Reunion,['bedroom pop'],24
MOMOLAND,"['k-pop', 'k-pop girl group']",55
Savon,"['lo-fi house', 'vapor twitch']",22
B.T. Express,"['classic soul', 'disco', 'funk', 'post-disco', 'quiet storm']",30
Flirtini,[],27
Ikane C.,[],14
Cara Salimando,['deep indie singer-songwriter'],23
China Lilly,[],1
Ayla D'lyla,[],31
Triana Park,"['eurovision', 'latvian pop']",23
CASIOPEA,"['japanese jazz', 'japanese jazz fusion', 'jazz fusion']",49
The Marcus Hedges Trend Orchestra,"['otacore', 'scorecore']",47
Mila J,"['hip pop', 'pop r&b', 'r&b', 'trap queen', 'urban contemporary']",55
Wilco,"['alternative country', 'alternative rock', 'chicago indie', 'indie rock', 'pop rock', 'roots rock']",59
Hannah Cameron,[],15
Pevanni,[],26
Wee,[],26
Doe Rak Love,[],23
Band Aid 20,['musical advocacy'],30
MOTHICA,"['alt z', 'electropop', 'indie poptimism', 'pop', 'social media pop', 'vapor soul']",59
KVMIL,"['meme rap', 'viral rap']",39
The Doozers,[],32
Stoop Kids,"['indie r&b', 'new orleans indie']",33
Mood Killer,['hyperpop'],33
Eminem,"['detroit hip hop', 'hip hop', 'rap']",90
Boom Bip,['abstract hip hop'],28
Duncan Millar,['smooth jazz'],28
Austn,[],0
Bri Steves,['trap queen'],24
Hubstcy,[],30
Les Knickers,[],0
lostlife.,[],17
Carrie Underwood,"['contemporary country', 'country', 'country dawn', 'oklahoma country', 'pop']",71
Soleima,"['danish electropop', 'danish pop']",40
Sophie Simmons,['la pop'],57
Torrey Mercer,[],5
Nicky Kuba,[],5
K CAMP,"['atl hip hop', 'hip hop', 'melodic rap', 'pop r&b', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap', 'viral rap']",61
Froglady,[],16
We Three Trio,['background jazz'],41
oh my muu,[],4
Eagles,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",74
whyetc,[],21
Joe Hertz,"['alternative r&b', 'chill r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b', 'vapor soul']",48
Erick the Architect,['underground hip hop'],56
WAQMEUP,[],4
Kindness,"['art pop', 'chillwave', 'electropop', 'uk alternative pop']",37
Mach-Hommy,"['alternative hip hop', 'boom bap', 'hip hop', 'new jersey rap', 'psychedelic hip hop', 'underground hip hop']",51
Less Gravity,"['lo-fi vgm', 'weirdcore']",51
0171,['indie electropop'],27
COMMAND,[],2
Nap Eyes,"['garage psych', 'halifax indie']",28
YAM YAM,[],22
Sub Urban,"['modern indie pop', 'viral rap']",67
Paul Wall,"['chopped and screwed', 'crunk', 'dirty south rap', 'gangster rap', 'houston rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",59
Khaled,"['classic arab pop', 'rai']",59
Haruomi Hosono,"['classic j-rock', 'japanese folk', 'japanese psychedelic', 'japanese singer-songwriter', 'japanese soundtrack', 'proto-techno', 'shibuya-kei']",44
Foa,['experimental folk'],1
Johnny Burgos,[],28
Presslufthanna,['german jazz rap'],24
WebsterX,['milwaukee hip hop'],26
Gordi,['australian electropop'],46
Balming Tiger,['k-rap'],59
sky pedro,[],23
Sons of an Illustrious Father,[],21
Pedro Esparza,"['antiviral pop', 'minecraft']",19
VIK,[],8
Kllo,"['aussietronica', 'indie soul', 'vapor soul']",45
Dave Soldier,['jazz violin'],9
JC KU$H,[],0
Casino Versus Japan,"['ambient', 'deep idm', 'drill and bass', 'intelligent dance music']",38
Codeko,"['gaming edm', 'melodic dubstep', 'pop edm']",43
Antwon,['underground hip hop'],37
Jamie Cullum,"['adult standards', 'contemporary vocal jazz', 'jazz pop', 'neo mellow', 'vocal jazz']",58
Shibuya Scramble,[],16
Lucian,"['pop edm', 'vapor twitch']",52
Elujay,"['alternative r&b', 'cali rap', 'chill r&b', 'indie hip hop', 'indie r&b', 'indie soul']",49
1010benja,['experimental r&b'],21
Das Racist,"['comedy rap', 'escape room']",30
Ric Wilson,['psychedelic hip hop'],45
Phlocalyst,"['lo-fi beats', 'lo-fi jazzhop']",59
Swim Mountain,"['chamber psych', 'indie garage rock', 'indie surf', 'neo-psychedelic']",37
morgxn,"['indie poptimism', 'la pop']",48
Rexx Life Raj,"['cali rap', 'pop rap', 'trap soul', 'underground hip hop']",55
Ricky Montgomery,"['indie pop', 'la indie']",69
Chinsaku,[],28
Daniel Aged,['experimental ambient'],26
300 R3MY,[],2
Busta Rhymes,"['east coast hip hop', 'hardcore hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap']",70
Nosnija,['japanese beats'],12
KLIO,['nightcore'],34
Skinnydip,[],26
Fourplay,['smooth jazz'],45
YUNGBLUD,"['british indie rock', 'modern rock', 'rock']",71
Vivienne Chi,['indie electropop'],27
okaywill,[],40
The RH Factor,"['funk', 'indie jazz', 'indie soul', 'jazz funk', 'neo r&b', 'neo soul']",43
Kota Banks,"['australian alternative pop', 'australian electropop', 'australian pop', 'hyperpop']",33
Squirrel Flower,"['boston indie', 'bubblegrunge', 'indie folk', 'indie pop']",42
Dismemberment Plan,"['alternative rock', 'emo', 'indie rock', 'lo-fi', 'post-hardcore']",36
Moli,[],32
Tenno,"['japanese chillhop', 'lo-fi beats']",59
Angie McMahon,"['australian indie', 'australian pop']",45
cute girls doing cute things,"['future bass', 'kawaii future bass']",36
Baby Storme,[],35
Lute,"['north carolina hip hop', 'underground hip hop']",58
Gaidaa,"['alternative r&b', 'arab alternative', 'chill r&b', 'indie r&b', 'indie soul', 'sudanese pop']",47
Rosemary Fairweather,['modern dream pop'],38
Adam Jensen,"['modern alternative rock', 'modern rock', 'rebel blues']",58
Bibio,"['ambient folk', 'chillwave', 'downtempo', 'electronica', 'folktronica', 'indie soul']",54
Cody・Lee(李),['japanese alternative rock'],38
Maddie Ross,[],18
Jarline,[],26
Sitting Duck,[],50
Over the Garden Wall,[],55
Benny Jakes,[],0
Mary Glenn,['pop folk'],27
Lofi Fruits Music,"['lo-fi cover', 'lo-fi product']",78
Mac James,[],15
Bob the Drag Queen,['strut'],33
Shay Lia,"['alternative r&b', 'canadian contemporary r&b', 'canadian pop', 'indie r&b', 'indie soul', 'montreal indie']",49
Steven Jame$,[],27
Wilma Vritra,['experimental hip hop'],32
admo,['chillsynth'],43
Sons of Raphael,[],21
The Prodigy,"['big beat', 'breakbeat', 'dance rock', 'hardcore techno', 'rave']",63
RaeLynn,"['contemporary country', 'country', 'country pop', 'country road', 'deep talent show']",52
Michellita,[],11
Kenny Segal,['chillhop'],41
Pawcut,[],38
Kinnship,['vapor soul'],41
Skillet,"['alternative metal', 'christian alternative rock', 'christian music', 'christian rock']",71
Ayelle,['vapor soul'],47
FRANZ,['lo-fi jazzhop'],39
Deep Inside,"['background music', 'focus']",28
JOY.,"['australian electropop', 'australian pop', 'electropop', 'vapor soul']",50
The Rumble Strips,"['british indie rock', 'devon indie']",36
Lil Boom,"['meme rap', 'vapor trap']",42
FOXTROTT,[],26
SoloSam,[],30
Sadistics,"['classic city pop', 'japanese jazz']",28
Luke Christopher,"['indie pop rap', 'pop rap']",47
Lyldoll,[],17
Yin Yin,['dutch indie'],43
Eiffel 65,"['bubblegum dance', 'eurodance', 'europop', 'italian adult pop', 'italo dance']",61
The Noveltones,[],24
Erin Bowman,[],22
Kiedo,[],14
Rivr,['chill r&b'],6
Otterpop,[],16
Liphemra,[],17
Jarami,"['indie soul', 'scandipop']",37
Tori Forsyth,"['australian americana', 'australian country']",24
Emma Elisabeth,[],9
Loretta Lynn,"['country', 'country rock', 'nashville sound']",57
Vancouver Sleep Clinic,"['indie folk', 'vapor pop', 'vapor soul']",58
Harlem,"['garage pop', 'indie garage rock', 'tucson indie']",33
BUSDRIVER,"['abstract hip hop', 'alternative hip hop', 'escape room']",39
NoelNico,[],13
Tate Jackson Trio,['background jazz'],45
Katy Kirby,"['bubblegrunge', 'indie folk', 'indie pop']",42
Emily Jane White,['indie folk'],45
Sevish,"['atmospheric dnb', 'microtonal']",26
Aubrey Huntsman,[],15
Plustwo,[],37
Current Blue,['bedroom soul'],35
No Rome,['indietronica'],53
Taylor Skye,[],17
Frances Forever,"['bedroom pop', 'indie pop']",50
June Vazquez,[],4
L'Rain,"['art pop', 'collage pop']",28
STACEY,[],26
Mob Rich,[],43
Basslovers United,"['german dance', 'hands up']",42
IGRAINE,['background music'],34
Vindata,"['future bass', 'vapor twitch']",40
Alireza GH,[],1
WizTheMc,"['canadian contemporary r&b', 'pop rap']",51
Dizolve,[],17
Peter Sandberg,"['compositional ambient', 'focus', 'neo-classical']",55
Nitsua,['ambeat'],33
Sammy Davis Jr.,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",50
MUST DIE!,"['brostep', 'dubstep', 'edm', 'electro house', 'electronic trap']",45
Claudio Capéo,"['francoton', 'french pop', 'variete francaise']",55
DRWNDSPDR,[],0
Mackleny,[],26
Maika Loubté,['japanese dance pop'],31
Hardwell,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",64
Redinho,"['future garage', 'popping', 'purple sound']",44
Elah Hale,['modern indie pop'],28
CashMoneyAp,[],44
meat computer,"['glitchcore', 'hyperpop', 'underground hip hop']",42
Rothwell,['indie anthem-folk'],41
YAYOI DAIMON,['j-rap'],28
E I S U,[],42
The Raveonettes,"['danish alternative rock', 'danish rock', 'dream pop', 'modern dream pop']",42
Crooked Colours,"['edm', 'indie soul', 'vapor soul']",56
David Leonard,"['ccm', 'christian pop']",50
Asmow,[],0
Jim Junior,[],17
Chieli Minucci,['smooth jazz'],35
Elle Teresa,"['j-rap', 'josei rap']",40
Parov Stelar Trio,"['electro swing', 'nu jazz']",36
Sunshine Brothers Inc.,['western mass indie'],6
the pillows,['hokkaido indie'],49
CAPSULE,"['japanese dance pop', 'japanese electropop', 'shibuya-kei']",40
PALGOU,[],1
Paisley,[],6
Vardaan Arora,[],30
Phantom Spade,[],4
Widowspeak,"['brooklyn indie', 'chillwave', 'indie folk', 'indie rock']",46
Lhasa Petik,[],1
Young Clancy,[],17
Qendresa,"['alternative r&b', 'indie r&b']",41
Gia Woods,"['alt z', 'electropop']",40
Midnixht Waves,[],14
Ben Phipps,"['deep tropical house', 'nyc pop']",35
Tyron Hapi,"['australian pop', 'pop dance', 'pop edm', 'sky room', 'tropical house']",48
Kasabian,"['alternative rock', 'britpop', 'garage rock', 'indie rock', 'leicester indie', 'modern rock', 'rock']",62
Fart Fest,[],25
Laura Mvula,"['afrofuturism', 'british soul', 'neo soul']",43
Aw6ken,[],0
Fashion Jackson,"['san diego indie', 'socal indie']",28
Shania Twain,"['canadian country', 'canadian pop', 'country', 'country dawn', 'dance pop']",72
Heather Russell,['indie poptimism'],0
Bakermat,"['minimal tech house', 'tropical house']",63
Baro Sura,[],28
Patiotic,[],27
Small Black,"['alternative dance', 'chillwave', 'dream pop', 'electropop', 'indie rock', 'indietronica', 'metropopolis', 'shimmer pop']",43
DI3GO,[],25
Twin Shadow,"['alternative dance', 'art pop', 'chillwave', 'electropop', 'indietronica', 'metropopolis']",48
Baird,"['baltimore indie', 'collage pop', 'indie r&b']",49
The Lighthouse And The Whaler,"['cleveland indie', 'modern folk rock', 'stomp and holler']",41
Uboa,['death industrial'],27
Liv Dawson,['uk pop'],41
Kidskeep.Z,[],21
Emilee,['social media pop'],60
Win and Woo,"['edm', 'electropop', 'indie poptimism', 'pop dance', 'pop edm', 'tropical house', 'vapor twitch']",46
QUIN,['indie r&b'],44
Run The Jewels,"['alternative hip hop', 'escape room', 'hip hop', 'political hip hop']",61
Shaaye,[],14
3K,[],12
Sonny Side Up,['chill beats'],25
Louie Duffelbags,[],26
Sandro Brugnolini,"['italian library music', 'spytrack', 'vintage italian soundtrack']",33
Nothing But Thieves,"['alternative pop rock', 'modern alternative rock', 'modern rock', 'rock']",64
The Smile,['indie rock'],53
Off Bloom,['danish electropop'],27
Supa Dupa Humble,['meme rap'],37
Eph See,[],7
Koji Kondo,['japanese vgm'],45
Caribou,"['alternative dance', 'electronica', 'electropop', 'folktronica', 'indie rock', 'indietronica', 'intelligent dance music', 'new rave']",55
Wiz Khalifa,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",81
Vinyl Pinups,[],25
JaJa Kisses,[],1
Nite Flyte,['smooth jazz'],28
All Mankind,[],16
trxxshed,[],46
Cypress Hill,"['chicano rap', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'rap rock', 'west coast rap']",66
Manuel,['super eurobeat'],46
Milkoi,['kawaii future bass'],41
Sheryl Crow,"['lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'singer-songwriter']",65
Alemeda,[],40
Motionless In White,"['alternative metal', 'metalcore']",68
V.I.C.,"['atl hip hop', 'futuristic swag', 'pop rap', 'southern hip hop']",47
soukaアイ,['anime lo-fi'],0
Graves,[],8
Christelle Bofale,['afrofuturism'],23
SuperKnova,[],27
Skander,[],0
Alecs DeLarge,[],15
Nina Simone,"['jazz blues', 'soul', 'soul jazz', 'torch song', 'vocal jazz']",67
Hubert Daviz,"['abstract beats', 'chillhop', 'jazz boom bap', 'wonky']",35
Tay Iwar,"['alte', 'nigerian pop']",52
GURLS,"['experimental jazz', 'norwegian contemporary jazz']",16
Bessie Turner,"['chamber psych', 'east anglia indie']",26
Kemba,['alternative hip hop'],39
