,genres,artist_popularity
Gucci Mane,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",76
Kupla,"['anime lo-fi', 'lo-fi beats']",56
Travis Scott,"['rap', 'slap house']",88
Ravenna Golden,['hyperpop'],35
Mr Twin Sister,"['art pop', 'chillwave']",43
Hannah Kerr,"['anthem worship', 'ccm', 'christian pop']",48
Missy Elliott,"['dance pop', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'urban contemporary', 'virginia hip hop']",69
Kim Petras,"['dance pop', 'pop', 'post-teen pop', 'transpop']",82
GRLwood,"['indie pop', 'louisville indie', 'viral rap']",53
Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",88
MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'rap']",75
KIDS SEE GHOSTS,"['hip hop', 'rap']",60
okayceci,[],44
T-Shyne,[],43
City Girl,['lo-fi beats'],52
Launder,"['american shoegaze', 'dreamo', 'garage psych', 'modern dream pop', 'nu gaze']",33
Madonna,"['dance pop', 'pop']",76
WILLOW,"['afrofuturism', 'pop', 'post-teen pop']",74
Cast of Mamma Mia! The Movie,['hollywood'],44
Tommy Genesis,"['alternative r&b', 'bc underground hip hop', 'canadian hip hop', 'canadian trap', 'electropop', 'escape room', 'trap queen']",45
Sweet Little Band,"[""children's music"", 'musica para ninos']",53
Andrea Valle,['experimental r&b'],25
Sega Bodega,"['alternative r&b', 'art pop', 'deconstructed club', 'escape room', 'hyperpop', 'proto-hyperpop']",45
Rook1e,['lo-fi beats'],54
Knife Girl,[],25
Pandrezz,"['chillhop', 'lo-fi beats']",56
mommy,"['chillhop', 'lo-fi beats']",48
Ajmw,"['chillhop', 'lo-fi beats']",47
dj-Jo,['otacore'],46
Jay Tholen,['chiptune'],25
Cities Aviv,"['alternative hip hop', 'escape room', 'experimental hip hop', 'memphis indie', 'psychedelic hip hop', 'underground hip hop']",42
Bad Suns,"['indie poptimism', 'la indie', 'modern alternative rock', 'modern rock']",58
Take Van,[],41
Cesária Evora,"['afropop', 'cape verdean folk', 'morna', 'musica cabo-verdiana', 'twoubadou', 'world']",54
Car Seat Headrest,"['alternative rock', 'indie pop', 'indie rock', 'rock']",60
FLOOR BABA,['proto-hyperpop'],32
Soulja Boy,"['atl hip hop', 'chicago bop', 'dance pop', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']",69
Porter Robinson,"['complextro', 'edm', 'melodic dubstep', 'progressive electro house']",62
That Poppy,[],40
VGR,"['otacore', 'vgm remix']",49
Jaztorius,[],31
Shubh Saran,['indian jazz'],27
Girl Pusher,['experimental club'],27
K.I.D,[],25
felio,[],29
Unknown Mortal Orchestra,"['alternative dance', 'chillwave', 'indie rock', 'kiwi rock', 'neo-psychedelic', 'new rave', 'portland hip hop', 'psychedelic pop']",60
Madge,"['hyperpop', 'utah indie']",36
Kylie Minogue,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop']",69
Kavv,"['chillhop', 'lo-fi beats']",45
Yotam Perel,[],27
Charlieshe,['multidisciplinary'],11
Charlie James-Walker,[],47
Ethel Cain,"['art pop', 'indie pop', 'modern dream pop', 'pop']",55
QT,"['escape room', 'hyperpop', 'proto-hyperpop']",27
frumhere,['lo-fi beats'],40
Psalm Trees,"['chillhop', 'lo-fi beats']",46
Bruno Mars,"['dance pop', 'pop']",87
Delayde,"['chillhop', 'lo-fi beats']",45
Taylor Swift,['pop'],100
Daddy Yankee,"['latin hip hop', 'reggaeton', 'trap latino']",86
Idealism,"['chillhop', 'lo-fi beats']",57
Coco & Clair Clair,['indie pop'],56
The Marías,"['bedroom pop', 'indie pop', 'la indie']",70
biosphere,['lo-fi beats'],49
The Format,['emo'],37
Home,['vaporwave'],59
Beyoncé,"['dance pop', 'pop', 'r&b']",86
L'FREAQ,[],28
Tokoname,[],28
Flitz&Suppe,"['chillhop', 'jazz boom bap', 'lo-fi beats']",47
